strategy,run,iteration,value
ring,0,1,2.677935838699341
ring,0,2,3.438074827194214
ring,0,3,4.200614929199219
ring,0,4,4.9443039894104
ring,0,5,5.695218086242676
ring,0,6,6.4420459270477295
ring,0,7,7.192456007003784
ring,0,8,7.934319257736206
ring,0,9,8.671019077301025
ring,0,10,9.417474031448364
ring,1,1,2.6086151599884033
ring,1,2,3.3698880672454834
ring,1,3,4.12774395942688
ring,1,4,4.889211177825928
ring,1,5,5.653120040893555
ring,1,6,6.410583972930908
ring,1,7,7.23230504989624
ring,1,8,7.988548040390015
ring,1,9,8.763675212860107
ring,1,10,9.526673078536987
ring,2,1,2.5930428504943848
ring,2,2,3.36024808883667
ring,2,3,4.12534499168396
ring,2,4,4.884778022766113
ring,2,5,5.6445019245147705
ring,2,6,6.403602123260498
ring,2,7,7.154635906219482
ring,2,8,7.910739898681641
ring,2,9,8.675345182418823
ring,2,10,9.420828104019165
ring,3,1,2.9147679805755615
ring,3,2,3.8738718032836914
ring,3,3,4.808894872665405
ring,3,4,5.75352668762207
ring,3,5,6.6846747398376465
ring,3,6,7.685142755508423
ring,3,7,8.671571969985962
ring,3,8,9.625149965286255
ring,3,9,10.607245922088623
ring,3,10,11.552365779876709
ring,4,1,2.803611993789673
ring,4,2,3.767256021499634
ring,4,3,4.781075954437256
ring,4,4,5.9846861362457275
ring,4,5,7.070298194885254
ring,4,6,8.133064031600952
ring,4,7,9.119330167770386
ring,4,8,10.145231008529663
ring,4,9,11.125765800476074
ring,4,10,12.421479940414429
multikuti,0,1,3.452226161956787
multikuti,0,2,4.553869009017944
multikuti,0,3,5.374605894088745
multikuti,0,4,6.211963891983032
multikuti,0,5,7.063799142837524
multikuti,0,6,7.908176898956299
multikuti,0,7,8.790518045425415
multikuti,0,8,9.541255950927734
multikuti,0,9,10.367864847183228
multikuti,0,10,11.17284893989563
multikuti,1,1,2.717716932296753
multikuti,1,2,3.906212091445923
multikuti,1,3,4.754792213439941
multikuti,1,4,5.564734935760498
multikuti,1,5,6.37979793548584
multikuti,1,6,7.201828956604004
multikuti,1,7,8.028024911880493
multikuti,1,8,8.818617105484009
multikuti,1,9,9.585062026977539
multikuti,1,10,10.369401931762695
multikuti,2,1,2.6936731338500977
multikuti,2,2,3.4704062938690186
multikuti,2,3,4.226874113082886
multikuti,2,4,5.035062074661255
multikuti,2,5,5.808948040008545
multikuti,2,6,6.583149194717407
