r_cross,r_mut,r_inv,run,final_score
0.6,0.01,0.0,0,11.154035091400146
0.6,0.01,0.0,1,9.523658037185669
0.6,0.01,0.05,0,9.358521938323975
0.6,0.01,0.05,1,9.434515953063965
0.6,0.01,0.1,0,9.484709024429321
0.6,0.01,0.1,1,9.402472972869873
0.6,0.1,0.0,0,9.407436847686768
0.6,0.1,0.0,1,9.383402109146118
0.6,0.1,0.05,0,11.019188165664673
0.6,0.1,0.05,1,9.42762804031372
0.6,0.1,0.1,0,10.27966594696045
0.6,0.1,0.1,1,10.918996334075928
0.6,0.3,0.0,0,9.349071025848389
0.6,0.3,0.0,1,9.793265104293823
0.6,0.3,0.05,0,9.471839904785156
0.6,0.3,0.05,1,9.43759274482727
0.6,0.3,0.1,0,10.789629220962524
0.6,0.3,0.1,1,9.652278184890747
0.8,0.01,0.0,0,9.359885215759277
0.8,0.01,0.0,1,9.747857809066772
0.8,0.01,0.05,0,10.777345895767212
0.8,0.01,0.05,1,9.45940089225769
0.8,0.01,0.1,0,9.708814144134521
0.8,0.01,0.1,1,9.957952976226807
0.8,0.1,0.0,0,11.496301651000977
0.8,0.1,0.0,1,10.976531028747559
0.8,0.1,0.05,0,10.090598106384277
0.8,0.1,0.05,1,11.559246063232422
0.8,0.1,0.1,0,9.7100830078125
0.8,0.1,0.1,1,9.462657928466797
0.8,0.3,0.0,0,9.57768702507019
0.8,0.3,0.0,1,9.4775869846344
0.8,0.3,0.05,0,12.0470130443573
0.8,0.3,0.05,1,9.806535243988037
0.8,0.3,0.1,0,9.679848909378052
0.8,0.3,0.1,1,9.970509767532349
0.95,0.01,0.0,0,11.378077983856201
0.95,0.01,0.0,1,10.62829303741455
0.95,0.01,0.05,0,10.436933040618896
0.95,0.01,0.05,1,9.57598090171814
0.95,0.01,0.1,0,11.075372219085693
0.95,0.01,0.1,1,11.444247961044312
0.95,0.1,0.0,0,9.58706784248352
0.95,0.1,0.0,1,11.368324279785156
0.95,0.1,0.05,0,9.441751718521118
0.95,0.1,0.05,1,9.474540710449219
0.95,0.1,0.1,0,9.576940059661865
0.95,0.1,0.1,1,9.893363952636719
0.95,0.3,0.0,0,9.920066833496094
0.95,0.3,0.0,1,12.145663022994995
0.95,0.3,0.05,0,9.498011827468872
0.95,0.3,0.05,1,9.802474975585938
0.95,0.3,0.1,0,10.680881023406982
0.95,0.3,0.1,1,9.37440800666809
