strategy,run,iteration,value
ring,0,1,1.2275863387952772
ring,0,2,1.2287545835105358
ring,0,3,1.229541398733844
ring,0,4,1.2298504809250004
ring,0,5,1.2287545835105358
ring,0,6,1.2282066348033036
ring,0,7,1.2270231371464047
ring,0,8,1.2298504809250004
ring,0,9,1.2298504809250002
ring,0,10,1.2281342875025092
ring,0,11,1.229302532217768
ring,0,12,1.2298504809250006
ring,0,13,1.2281342875025092
ring,0,14,1.2303984296322326
ring,0,15,1.229302532217768
ring,0,16,1.2286822362097418
ring,0,17,1.229302532217768
ring,0,18,1.2287545835105358
ring,0,19,1.2287393305688956
ring,0,20,1.229302532217768
ring,0,21,1.229302532217768
ring,0,22,1.2289934500266118
ring,0,23,1.2298504809250006
ring,0,24,1.2303984296322326
ring,0,25,1.2298504809250006
ring,0,26,1.2286822362097414
ring,0,27,1.2298504809250004
ring,0,28,1.229302532217768
ring,0,29,1.229302532217768
ring,0,30,1.2298504809250006
ring,1,1,1.2276586860960712
ring,1,2,1.229287279276128
ring,1,3,1.2267419100784704
ring,1,4,1.2298352279833602
ring,1,5,1.2298504809250002
ring,1,6,1.228471408208812
ring,1,7,1.229302532217768
ring,1,8,1.2298504809250002
ring,1,9,1.2303984296322326
ring,1,10,1.2298504809250002
ring,1,11,1.2298504809250002
ring,1,12,1.2303984296322326
ring,1,13,1.2281342875025092
ring,1,14,1.2298504809250002
ring,1,15,1.2287393305688954
ring,1,16,1.2289934500266118
ring,1,17,1.229302532217768
ring,1,18,1.2286822362097414
ring,1,19,1.2287545835105358
ring,1,20,1.2282066348033034
ring,1,21,1.2289934500266118
ring,1,22,1.2303984296322326
ring,1,23,1.2298504809250002
ring,1,24,1.2287545835105358
ring,1,25,1.2303984296322326
ring,1,26,1.229302532217768
ring,1,27,1.2282066348033034
ring,1,28,1.229302532217768
ring,1,29,1.2303984296322326
ring,1,30,1.2303984296322326
ring,2,1,1.2287545835105358
ring,2,2,1.2298504809250004
ring,2,3,1.2265627886816066
ring,2,4,1.2303984296322326
ring,2,5,1.229302532217768
ring,2,6,1.2298504809250002
ring,2,7,1.2287545835105358
ring,2,8,1.2303984296322326
ring,2,9,1.2298352279833602
ring,2,10,1.2286822362097414
ring,2,11,1.229302532217768
ring,2,12,1.229302532217768
ring,2,13,1.2298352279833602
ring,2,14,1.2298504809250002
ring,2,15,1.2298504809250002
ring,2,16,1.2279413299565518
ring,2,17,1.2303984296322326
ring,2,18,1.2298504809250006
ring,2,19,1.229302532217768
ring,2,20,1.2303984296322326
ring,2,21,1.229541398733844
ring,2,22,1.2276586860960712
ring,2,23,1.2303984296322326
ring,2,24,1.2270383900880446
ring,2,25,1.2298504809250004
ring,2,26,1.2303984296322326
ring,2,27,1.2303984296322326
ring,2,28,1.2281342875025092
ring,2,29,1.2298504809250004
ring,2,30,1.2303984296322326
ring,3,1,1.2249189425599099
ring,3,2,1.229287279276128
ring,3,3,1.229302532217768
ring,3,4,1.2298504809250006
ring,3,5,1.2303984296322326
