strategy,run,iteration,value
ring,0,1,1.249069308960221
ring,0,2,1.2581243373398903
ring,0,3,1.2599655150919016
ring,0,4,1.2590574979142617
ring,0,5,1.2599655150919016
ring,0,6,1.2590323545175302
ring,0,7,1.2590574979142617
ring,0,8,1.2570226758317393
ring,0,9,1.2599655150919016
ring,0,10,1.2599655150919016
ring,0,11,1.2599655150919016
ring,0,12,1.2590574979142617
ring,0,13,1.2581243373398903
ring,0,14,1.2599655150919016
ring,0,15,1.2590574979142617
ring,0,16,1.2599655150919016
ring,0,17,1.2599655150919016
ring,0,18,1.2599655150919016
ring,0,19,1.2581494807366216
ring,0,20,1.2590323545175302
ring,0,21,1.2599655150919016
ring,0,22,1.2590574979142617
ring,0,23,1.2570226758317389
ring,0,24,1.2599655150919016
ring,0,25,1.2599655150919016
ring,0,26,1.2599655150919016
ring,0,27,1.2599655150919016
ring,0,28,1.2599655150919016
ring,0,29,1.2599655150919016
ring,0,30,1.2590574979142617
ring,1,1,1.253609394848421
ring,1,2,1.2590574979142617
ring,1,3,1.2599655150919016
ring,1,4,1.2590323545175302
ring,1,5,1.2599655150919016
ring,1,6,1.2590574979142617
ring,1,7,1.2599655150919016
ring,1,8,1.2590574979142617
ring,1,9,1.2422591801279204
ring,1,10,1.2590574979142617
ring,1,11,1.2590574979142617
ring,1,12,1.2599655150919016
ring,1,13,1.2590323545175302
ring,1,14,1.2599655150919016
ring,1,15,1.2590574979142617
ring,1,16,1.2563083029846098
ring,1,17,1.2599655150919016
ring,1,18,1.2581243373398903
ring,1,19,1.2599655150919016
ring,1,20,1.2590574979142617
ring,1,21,1.2599655150919016
ring,1,22,1.2590574979142617
ring,1,23,1.2590574979142617
ring,1,24,1.2581494807366216
ring,1,25,1.2590574979142617
ring,1,26,1.2599655150919016
ring,1,27,1.2552066414764589
ring,1,28,1.2599655150919016
ring,1,29,1.2551814980797276
ring,1,30,1.2599655150919016
ring,2,1,1.2572414635589815
ring,2,2,1.2572163201622502
ring,2,3,1.2599655150919016
ring,2,4,1.2599655150919016
ring,2,5,1.2599655150919016
ring,2,6,1.2599655150919016
ring,2,7,1.2581494807366216
ring,2,8,1.2599655150919016
ring,2,9,1.2599655150919016
ring,2,10,1.2590574979142617
ring,2,11,1.2599655150919016
ring,2,12,1.2590574979142617
ring,2,13,1.2590574979142617
ring,2,14,1.2590574979142617
ring,2,15,1.2599655150919016
ring,2,16,1.2581494807366216
ring,2,17,1.2599655150919016
ring,2,18,1.2599655150919016
ring,2,19,1.2599655150919016
ring,2,20,1.2590574979142617
ring,2,21,1.2590574979142617
ring,2,22,1.2581494807366216
ring,2,23,1.2590574979142617
ring,2,24,1.2599655150919016
ring,2,25,1.2431671973055605
ring,2,26,1.256114658654099
ring,2,27,1.2599655150919016
ring,2,28,1.2590574979142617
ring,2,29,1.2599655150919016
ring,2,30,1.2590574979142617
ring,3,1,1.2340870255291598
ring,3,2,1.2552066414764593
ring,3,3,1.2548686067088215
ring,3,4,1.2590574979142617
ring,3,5,1.2561146586540992
ring,3,6,1.2590574979142617
ring,3,7,1.2599655150919016
ring,3,8,1.2590574979142617
ring,3,9,1.2590574979142617
ring,3,10,1.2599655150919016
ring,3,11,1.2599655150919016
ring,3,12,1.2590574979142617
ring,3,13,1.2590574979142617
ring,3,14,1.2599655150919016
ring,3,15,1.2570226758317389
ring,3,16,1.2590574979142617
ring,3,17,1.2590574979142617
ring,3,18,1.2581494807366216
ring,3,19,1.2599655150919016
ring,3,20,1.2599655150919016
ring,3,21,1.2599655150919016
