strategy,run,iteration,diversity
ring,0,1,11.925190156599552
ring,0,2,11.93440715883669
ring,0,3,11.938970917225951
ring,0,4,11.953914988814317
ring,0,5,11.935480984340044
ring,0,6,11.907382550335571
ring,0,7,11.876599552572706
ring,0,8,11.917762863534676
ring,0,9,11.855749440715885
ring,0,10,11.903982102908277
ring,0,11,11.897360178970917
ring,0,12,11.909261744966443
ring,0,13,11.898523489932886
ring,0,14,11.916331096196869
ring,0,15,11.89503355704698
ring,0,16,11.83937360178971
ring,0,17,11.812259507829978
ring,0,18,11.804742729306488
ring,0,19,11.777807606263982
ring,0,20,11.772438478747203
ring,0,21,11.782639821029083
ring,0,22,11.863803131991052
ring,0,23,11.908635346756153
ring,0,24,11.893154362416107
ring,0,25,11.877404921700224
ring,0,26,11.855838926174497
ring,0,27,11.90228187919463
ring,0,28,11.903266219239374
ring,0,29,11.874362416107383
ring,0,30,11.931006711409395
ring,0,31,11.865503355704698
ring,0,32,11.933959731543624
ring,0,33,11.895123042505594
ring,0,34,11.915525727069351
ring,0,35,11.89261744966443
ring,0,36,11.918568232662192
ring,0,37,11.913825503355705
ring,0,38,11.826308724832215
ring,0,39,11.904250559284117
ring,0,40,11.881342281879194
ring,0,41,11.893064876957494
ring,0,42,11.904519015659956
ring,0,43,11.859060402684564
ring,0,44,11.88447427293065
ring,0,45,11.891364653243848
ring,0,46,11.899507829977628
ring,0,47,11.880715883668904
ring,0,48,11.873557046979865
ring,0,49,11.907561521252797
ring,0,50,11.907293064876958
ring,0,51,11.906935123042505
ring,0,52,11.911946308724833
ring,0,53,11.899507829977628
ring,0,54,11.904608501118568
ring,0,55,11.876331096196868
ring,0,56,11.891364653243848
ring,0,57,11.898881431767338
ring,0,58,11.91096196868009
ring,0,59,11.888501118568232
ring,0,60,11.860492170022372
ring,0,61,11.88841163310962
ring,0,62,11.86854586129754
ring,0,63,11.875167785234899
ring,0,64,11.883131991051455
ring,0,65,11.91463087248322
ring,0,66,11.873736017897091
ring,0,67,11.848590604026846
ring,0,68,11.899507829977628
ring,0,69,11.855480984340044
ring,0,70,11.893691275167786
ring,0,71,11.896644295302014
ring,0,72,11.86192393736018
ring,0,73,11.896196868008948
ring,0,74,11.861565995525726
ring,0,75,11.863534675615213
ring,0,76,11.866040268456375
ring,0,77,11.786666666666667
ring,0,78,11.811185682326622
ring,0,79,11.796778523489932
ring,0,80,11.817360178970917
ring,0,81,11.727964205816555
ring,0,82,11.865592841163311
ring,0,83,11.897628635346756
ring,0,84,11.855570469798657
ring,0,85,11.862997762863534
ring,0,86,11.896017897091722
ring,0,87,11.815480984340045
ring,0,88,11.885190156599553
ring,0,89,11.833467561521253
ring,0,90,11.856286353467562
ring,0,91,11.83579418344519
ring,0,92,11.859597315436242
ring,0,93,11.884116331096196
ring,0,94,11.892975391498881
ring,0,95,11.86586129753915
ring,0,96,11.825682326621925
ring,0,97,11.70523489932886
ring,0,98,11.791677852348993
ring,0,99,11.720089485458614
ring,0,100,11.755883668903802
ring,1,1,11.925458612975392
ring,1,2,11.9131096196868
ring,1,3,11.906040268456376
ring,1,4,11.914451901565995
ring,1,5,11.899776286353468
ring,1,6,11.955704697986578
ring,1,7,11.912662192393736
ring,1,8,11.874004474272931
ring,1,9,11.909619686800895
ring,1,10,11.910604026845638
ring,1,11,11.887606263982104
ring,1,12,11.84993288590604
ring,1,13,11.897807606263981
ring,1,14,11.88599552572707
ring,1,15,11.916778523489933
ring,1,16,11.912841163310961
ring,1,17,11.87248322147651
ring,1,18,11.879910514541388
ring,1,19,11.888501118568232
ring,1,20,11.924653243847875
ring,1,21,11.915973154362415
ring,1,22,11.881610738255034
ring,1,23,11.917583892617449
ring,1,24,11.86255033557047
ring,1,25,11.88930648769575
ring,1,26,11.884563758389262
ring,1,27,11.849485458612975
ring,1,28,11.845100671140939
ring,1,29,11.862908277404921
ring,1,30,11.881431767337808
ring,1,31,11.8468903803132
ring,1,32,11.772527964205816
ring,1,33,11.821476510067114
ring,1,34,11.791409395973155
ring,1,35,11.763758389261746
ring,1,36,11.791140939597316
ring,1,37,11.789619686800895
ring,1,38,11.846442953020134
ring,1,39,11.810201342281879
ring,1,40,11.807964205816555
ring,1,41,11.82586129753915
ring,1,42,11.783982102908277
ring,1,43,11.780492170022372
ring,1,44,11.822102908277405
ring,1,45,11.746935123042505
ring,1,46,11.814049217002237
ring,1,47,11.840178970917226
ring,1,48,11.853064876957495
ring,1,49,11.865503355704698
ring,1,50,11.815570469798658
ring,1,51,11.817897091722594
ring,1,52,11.833736017897092
ring,1,53,11.770111856823267
ring,1,54,11.823087248322148
ring,1,55,11.848590604026846
ring,1,56,11.818165548098435
ring,1,57,11.809038031319911
ring,1,58,11.806085011185683
ring,1,59,11.8468903803132
ring,1,60,11.84635346756152
ring,1,61,11.817270693512304
ring,1,62,11.784608501118568
ring,1,63,11.759821029082774
ring,1,64,11.742639821029083
ring,1,65,11.781118568232662
ring,1,66,11.775480984340044
ring,1,67,11.758389261744966
ring,1,68,11.819149888143176
ring,1,69,11.79821029082774
ring,1,70,11.822460850111856
ring,1,71,11.828814317673379
ring,1,72,11.797494407158837
ring,1,73,11.752393736017897
ring,1,74,11.795704697986578
ring,1,75,11.737270693512304
ring,1,76,11.811006711409396
ring,1,77,11.773422818791946
ring,1,78,11.78738255033557
ring,1,79,11.771543624161074
ring,1,80,11.739955257270694
ring,1,81,11.812885906040268
ring,1,82,11.791856823266219
ring,1,83,11.80876957494407
ring,1,84,11.806442953020134
ring,1,85,11.771006711409395
ring,1,86,11.798657718120806
ring,1,87,11.799463087248322
ring,1,88,11.771454138702461
ring,1,89,11.783982102908277
ring,1,90,11.79642058165548
ring,1,91,11.833288590604027
ring,1,92,11.76903803131991
ring,1,93,11.759284116331097
ring,1,94,11.76420581655481
ring,1,95,11.773601789709172
ring,1,96,11.815570469798658
ring,1,97,11.808859060402684
ring,1,98,11.792841163310962
ring,1,99,11.79248322147651
ring,1,100,11.786398210290828
ring,2,1,11.924563758389262
ring,2,2,11.944519015659955
ring,2,3,11.89413870246085
ring,2,4,11.914988814317674
ring,2,5,11.89082774049217
ring,2,6,11.930559284116331
ring,2,7,11.874362416107383
ring,2,8,11.858970917225951
ring,2,9,11.886711409395973
ring,2,10,11.84599552572707
ring,2,11,11.862997762863534
ring,2,12,11.90013422818792
ring,2,13,11.917762863534676
ring,2,14,11.890290827740492
ring,2,15,11.908187919463087
ring,2,16,11.901476510067114
ring,2,17,11.906398210290828
ring,2,18,11.909888143176733
ring,2,19,11.870604026845637
ring,2,20,11.904608501118568
ring,2,21,11.86890380313199
ring,2,22,11.857002237136465
ring,2,23,11.888680089485458
ring,2,24,11.850917225950782
ring,2,25,11.853780760626398
ring,2,26,11.903624161073825
ring,2,27,11.893333333333333
ring,2,28,11.916152125279641
ring,2,29,11.91427293064877
ring,2,30,11.882505592841163
ring,2,31,11.903713646532438
ring,2,32,11.9034451901566
ring,2,33,11.888232662192394
ring,2,34,11.86040268456376
ring,2,35,11.891364653243848
ring,2,36,11.86854586129754
ring,2,37,11.910514541387025
ring,2,38,11.884742729306488
ring,2,39,11.897539149888143
ring,2,40,11.897091722595079
ring,2,41,11.875346756152124
ring,2,42,11.814228187919463
ring,2,43,11.8613870246085
ring,2,44,11.897986577181207
ring,2,45,11.80841163310962
ring,2,46,11.870514541387024
ring,2,47,11.847427293064877
ring,2,48,11.885637583892617
ring,2,49,11.863534675615213
ring,2,50,11.897897091722594
ring,2,51,11.867829977628636
ring,2,52,11.862013422818793
ring,2,53,11.880984340044742
ring,2,54,11.884921700223714
ring,2,55,11.848859060402685
ring,2,56,11.906845637583892
ring,2,57,11.880984340044742
ring,2,58,11.907561521252797
ring,2,59,11.878657718120806
ring,2,60,11.892170022371365
ring,2,61,11.89897091722595
ring,2,62,11.871946308724832
ring,2,63,11.887964205816555
ring,2,64,11.907919463087248
ring,2,65,11.906666666666666
ring,2,66,11.908456375838925
ring,2,67,11.86854586129754
ring,2,68,11.860850111856823
