strategy,run,iteration,value
ring,0,1,0.5798990726470947
ring,0,2,0.7945480346679688
ring,0,3,1.0094599723815918
ring,0,4,1.2140421867370605
ring,0,5,1.572674036026001
ring,0,6,1.7826390266418457
ring,0,7,1.9916002750396729
ring,0,8,2.206576108932495
ring,0,9,2.416872978210449
ring,0,10,2.6219630241394043
ring,0,11,2.8282392024993896
ring,0,12,3.0778939723968506
ring,0,13,3.286755084991455
ring,0,14,3.5096981525421143
ring,0,15,3.718653917312622
ring,0,16,3.923943042755127
ring,0,17,4.139408826828003
ring,0,18,4.3508360385894775
ring,0,19,4.5571441650390625
ring,0,20,4.760772228240967
ring,0,21,5.001871109008789
ring,0,22,5.214007139205933
ring,0,23,5.420236110687256
ring,0,24,5.637171983718872
ring,0,25,5.850252151489258
ring,0,26,6.059343099594116
ring,0,27,6.2709550857543945
ring,0,28,6.479075193405151
ring,0,29,6.6900129318237305
ring,0,30,6.8966710567474365
ring,1,1,0.4959139823913574
ring,1,2,0.7018139362335205
ring,1,3,0.9078447818756104
ring,1,4,1.1170828342437744
ring,1,5,1.3552539348602295
ring,1,6,1.5642061233520508
ring,1,7,1.7811510562896729
ring,1,8,1.9874579906463623
ring,1,9,2.1951260566711426
ring,1,10,2.399317979812622
ring,1,11,2.6079208850860596
ring,1,12,2.8225080966949463
ring,1,13,3.0311779975891113
ring,1,14,3.2375340461730957
ring,1,15,3.44305682182312
ring,1,16,3.6538760662078857
ring,1,17,3.862455129623413
ring,1,18,4.0656418800354
ring,1,19,4.269507169723511
ring,1,20,4.4808268547058105
ring,1,21,4.689328908920288
ring,1,22,5.022464036941528
ring,1,23,5.230358123779297
ring,1,24,5.441133975982666
ring,1,25,5.645359754562378
ring,1,26,5.85574197769165
ring,1,27,6.061522006988525
ring,1,28,6.265415906906128
ring,1,29,6.473557949066162
ring,1,30,6.682704925537109
ring,2,1,0.492933988571167
ring,2,2,0.6993570327758789
ring,2,3,0.9042470455169678
ring,2,4,1.1103110313415527
ring,2,5,1.315403938293457
ring,2,6,1.6434800624847412
ring,2,7,1.8490118980407715
ring,2,8,2.0504369735717773
ring,2,9,2.2570669651031494
ring,2,10,2.4811549186706543
ring,2,11,2.681257963180542
ring,2,12,2.8923990726470947
ring,2,13,3.0973470211029053
ring,2,14,3.30298113822937
ring,2,15,3.5098421573638916
ring,2,16,3.719964027404785
ring,2,17,3.9235999584198
ring,2,18,4.13311505317688
ring,2,19,4.3384950160980225
ring,2,20,4.540287971496582
ring,2,21,4.747127056121826
ring,2,22,4.985351800918579
ring,2,23,5.189586162567139
ring,2,24,5.394695043563843
ring,2,25,5.6227030754089355
ring,2,26,5.829741954803467
ring,2,27,6.0392420291900635
ring,2,28,6.254995822906494
ring,2,29,6.466381072998047
ring,2,30,6.6951868534088135
ring,3,1,0.5178790092468262
ring,3,2,0.7668170928955078
ring,3,3,1.0058541297912598
ring,3,4,1.2097971439361572
ring,3,5,1.4274308681488037
ring,3,6,1.6767621040344238
ring,3,7,1.9107122421264648
ring,3,8,2.134106159210205
ring,3,9,2.3403351306915283
ring,3,10,2.5480189323425293
ring,3,11,2.7833709716796875
ring,3,12,3.0008251667022705
ring,3,13,3.200705051422119
ring,3,14,3.403472900390625
ring,3,15,3.616664171218872
ring,3,16,3.8292019367218018
ring,3,17,4.037189960479736
ring,3,18,4.246287107467651
ring,3,19,4.45854115486145
ring,3,20,4.67179012298584
ring,3,21,4.879279136657715
ring,3,22,5.089675188064575
ring,3,23,5.477729082107544
ring,3,24,5.685849189758301
ring,3,25,5.89226508140564
ring,3,26,6.096136093139648
ring,3,27,6.296720266342163
ring,3,28,6.508050918579102
ring,3,29,6.709741115570068
ring,3,30,6.926473140716553
ring,4,1,0.49340224266052246
ring,4,2,0.6990420818328857
ring,4,3,0.9015920162200928
ring,4,4,1.1058502197265625
ring,4,5,1.3029930591583252
ring,4,6,1.5038690567016602
ring,4,7,1.8283588886260986
ring,4,8,2.0342400074005127
ring,4,9,2.239443063735962
ring,4,10,2.447972059249878
ring,4,11,2.6554901599884033
ring,4,12,2.8734049797058105
ring,4,13,3.087238073348999
ring,4,14,3.2916340827941895
ring,4,15,3.5017640590667725
ring,4,16,3.7223119735717773
ring,4,17,3.9370131492614746
ring,4,18,4.142670154571533
ring,4,19,4.352093935012817
ring,4,20,4.5557050704956055
ring,4,21,4.760821104049683
ring,4,22,4.96832013130188
ring,4,23,5.210651874542236
ring,4,24,5.420278072357178
ring,4,25,5.626107215881348
ring,4,26,5.837162017822266
ring,4,27,6.041346073150635
ring,4,28,6.244394063949585
ring,4,29,6.4532880783081055
ring,4,30,6.662996053695679
ring,5,1,0.5111210346221924
ring,5,2,0.7145509719848633
ring,5,3,0.9230449199676514
ring,5,4,1.124871015548706
ring,5,5,1.3320989608764648
ring,5,6,1.5414810180664062
ring,5,7,1.799185037612915
ring,5,8,2.0050270557403564
ring,5,9,2.2136359214782715
ring,5,10,2.4253389835357666
ring,5,11,2.624912977218628
ring,5,12,2.830286979675293
ring,5,13,3.038470983505249
ring,5,14,3.2385928630828857
ring,5,15,3.446668863296509
ring,5,16,3.6507198810577393
ring,5,17,3.855860948562622
ring,5,18,4.092029094696045
ring,5,19,4.3336169719696045
ring,5,20,4.5826239585876465
ring,5,21,4.824846982955933
ring,5,22,5.0668299198150635
ring,5,23,5.308701992034912
ring,5,24,5.671041011810303
ring,5,25,5.912149906158447
ring,5,26,6.124766111373901
ring,5,27,6.337601900100708
ring,5,28,6.542876958847046
ring,5,29,6.749557971954346
ring,5,30,6.954690933227539
ring,6,1,0.4974188804626465
ring,6,2,0.7024340629577637
ring,6,3,0.9083108901977539
ring,6,4,1.117055892944336
ring,6,5,1.3257691860198975
ring,6,6,1.5257792472839355
ring,6,7,1.7304050922393799
ring,6,8,2.050035238265991
ring,6,9,2.2628259658813477
ring,6,10,2.4993550777435303
ring,6,11,2.707361936569214
ring,6,12,2.9169580936431885
ring,6,13,3.121317148208618
ring,6,14,3.3346030712127686
ring,6,15,3.538036823272705
ring,6,16,3.7459309101104736
ring,6,17,3.9647369384765625
ring,6,18,4.186284065246582
ring,6,19,4.39600396156311
ring,6,20,4.610623836517334
ring,6,21,4.817077875137329
ring,6,22,5.022447109222412
ring,6,23,5.239911079406738
ring,6,24,5.502496957778931
ring,6,25,5.732370138168335
ring,6,26,5.98364520072937
ring,6,27,6.212609052658081
ring,6,28,6.438259124755859
ring,6,29,6.663052082061768
ring,6,30,6.8835790157318115
ring,7,1,0.5106837749481201
ring,7,2,0.71651291847229
ring,7,3,0.9207689762115479
ring,7,4,1.126446008682251
ring,7,5,1.3359990119934082
ring,7,6,1.5397307872772217
ring,7,7,1.7412729263305664
ring,7,8,1.9960908889770508
ring,7,9,2.206346035003662
ring,7,10,2.4104089736938477
ring,7,11,2.6236648559570312
ring,7,12,2.8307290077209473
ring,7,13,3.0313668251037598
ring,7,14,3.233832836151123
ring,7,15,3.4354937076568604
ring,7,16,3.644568920135498
ring,7,17,3.875854730606079
ring,7,18,4.086103916168213
ring,7,19,4.295413017272949
ring,7,20,4.501925706863403
ring,7,21,4.705951929092407
ring,7,22,4.909610986709595
ring,7,23,5.109350919723511
ring,7,24,5.312500953674316
ring,7,25,5.671422004699707
ring,7,26,5.878582000732422
ring,7,27,6.08414888381958
ring,7,28,6.294785022735596
ring,7,29,6.501156806945801
ring,7,30,6.704867124557495
ring,8,1,0.5003571510314941
ring,8,2,0.7027130126953125
ring,8,3,0.9068620204925537
ring,8,4,1.1148290634155273
ring,8,5,1.3228652477264404
ring,8,6,1.5318100452423096
ring,8,7,1.7359809875488281
ring,8,8,1.9450643062591553
ring,8,9,2.276350259780884
ring,8,10,2.4812750816345215
ring,8,11,2.6905672550201416
ring,8,12,2.8981590270996094
ring,8,13,3.103456974029541
ring,8,14,3.3031139373779297
ring,8,15,3.5100152492523193
ring,8,16,3.7194972038269043
ring,8,17,3.941215991973877
ring,8,18,4.144553899765015
ring,8,19,4.347400188446045
ring,8,20,4.554652214050293
ring,8,21,4.763162136077881
ring,8,22,4.976883172988892
ring,8,23,5.180046081542969
ring,8,24,5.386146068572998
ring,8,25,5.628563165664673
ring,8,26,5.844687223434448
ring,8,27,6.056736946105957
ring,8,28,6.2663280963897705
ring,8,29,6.475066184997559
ring,8,30,6.6843650341033936
ring,9,1,0.4951779842376709
ring,9,2,0.694465160369873
ring,9,3,0.8960392475128174
ring,9,4,1.1023521423339844
ring,9,5,1.3082780838012695
ring,9,6,1.5188932418823242
ring,9,7,1.7220022678375244
ring,9,8,1.9279601573944092
ring,9,9,2.1714272499084473
ring,9,10,2.377868175506592
ring,9,11,2.6129281520843506
ring,9,12,2.824200391769409
ring,9,13,3.0305261611938477
ring,9,14,3.2436861991882324
ring,9,15,3.448761224746704
ring,9,16,3.6561973094940186
ring,9,17,3.864044189453125
ring,9,18,4.071062088012695
ring,9,19,4.279983282089233
ring,9,20,4.485274314880371
ring,9,21,4.691286087036133
ring,9,22,4.901358127593994
ring,9,23,5.10722017288208
ring,9,24,5.317738056182861
ring,9,25,5.529181241989136
ring,9,26,5.856300115585327
ring,9,27,6.062923192977905
ring,9,28,6.272040367126465
ring,9,29,6.4738450050354
ring,9,30,6.681365013122559
multikuti,0,1,0.4969661235809326
multikuti,0,2,0.6977250576019287
multikuti,0,3,0.8968122005462646
multikuti,0,4,1.1260480880737305
multikuti,0,5,1.3356940746307373
multikuti,0,6,1.559354305267334
multikuti,0,7,1.7779252529144287
multikuti,0,8,1.9858441352844238
multikuti,0,9,2.1881392002105713
multikuti,0,10,2.521721124649048
multikuti,0,11,2.72928524017334
multikuti,0,12,2.931378126144409
multikuti,0,13,3.1560630798339844
multikuti,0,14,3.3578100204467773
multikuti,0,15,3.5686001777648926
multikuti,0,16,3.7914040088653564
multikuti,0,17,3.9955620765686035
multikuti,0,18,4.204270124435425
multikuti,0,19,4.437915325164795
multikuti,0,20,4.673100233078003
multikuti,0,21,4.877242088317871
multikuti,0,22,5.112414121627808
multikuti,0,23,5.318207025527954
multikuti,0,24,5.525248050689697
multikuti,0,25,5.740720272064209
multikuti,0,26,6.044044017791748
multikuti,0,27,6.257488250732422
multikuti,0,28,6.477733135223389
multikuti,0,29,6.6811683177948
multikuti,0,30,6.892569065093994
multikuti,1,1,0.495715856552124
multikuti,1,2,0.7002370357513428
multikuti,1,3,0.8974180221557617
multikuti,1,4,1.117776870727539
multikuti,1,5,1.3251309394836426
multikuti,1,6,1.537539005279541
multikuti,1,7,1.7544870376586914
multikuti,1,8,1.9609558582305908
multikuti,1,9,2.1668319702148438
multikuti,1,10,2.5111169815063477
multikuti,1,11,2.7207159996032715
multikuti,1,12,2.935912847518921
multikuti,1,13,3.151526927947998
multikuti,1,14,3.367806911468506
multikuti,1,15,3.58240008354187
multikuti,1,16,3.801609992980957
multikuti,1,17,4.016640901565552
multikuti,1,18,4.219963788986206
multikuti,1,19,4.445278882980347
multikuti,1,20,4.6507179737091064
multikuti,1,21,4.865916967391968
multikuti,1,22,5.084813117980957
multikuti,1,23,5.287960052490234
