strategy,run,iteration,value
ring,0,1,1.3667076164627883
ring,0,2,2.1411365858162137
ring,0,3,2.243000535550871
ring,0,4,2.5182078730870083
ring,0,5,2.543103130400657
ring,0,6,2.530708073516295
ring,0,7,2.752897978647882
ring,0,8,2.8287526478456253
ring,0,9,2.8330434578277
ring,0,10,2.8669766132959884
ring,0,11,2.866561869372002
ring,0,12,2.9970460475303744
ring,0,13,2.9864845400313347
ring,0,14,3.022902614697668
ring,0,15,3.0238558228941
ring,0,16,3.0488163423488674
ring,0,17,3.0948728846975255
ring,0,18,3.094670151529801
ring,0,19,3.095493612871606
ring,0,20,3.0956928210335284
ring,0,21,3.0960292175201842
ring,0,22,3.150391857135529
ring,0,23,3.144980578639013
ring,0,24,3.1497123241403377
ring,0,25,3.1463689692067556
ring,0,26,3.15039185713553
ring,0,27,3.17689364394801
ring,0,28,3.176214110952819
ring,0,29,3.178252709938394
ring,0,30,3.1768936439480107
ring,0,31,3.177573176943203
ring,0,32,3.1734959789720514
ring,0,33,3.176214110952819
ring,0,34,3.177573176943202
ring,0,35,3.176214110952819
ring,0,36,3.176214110952819
ring,0,37,3.176214110952819
ring,0,38,3.176214110952819
ring,0,39,3.177573176943202
ring,0,40,3.178252709938394
ring,0,41,3.177573176943203
ring,0,42,3.178252709938394
ring,0,43,3.176214110952819
ring,0,44,3.177573176943202
ring,0,45,3.178252709938394
ring,0,46,3.176214110952819
ring,0,47,3.176214110952819
ring,0,48,3.177573176943202
ring,0,49,3.1768936439480107
ring,0,50,3.178252709938394
ring,1,1,1.8396460004044914
ring,1,2,2.6167940649314865
ring,1,3,2.6269649594947824
ring,1,4,2.6529743933999206
ring,1,5,2.6084426825796734
ring,1,6,2.6318613801605033
ring,1,7,3.015311590284454
ring,1,8,3.0071315686282176
ring,1,9,2.9801870472871625
ring,1,10,3.0179807644719117
ring,1,11,3.027751146791283
ring,1,12,3.16561999262463
ring,1,13,3.169681573593331
ring,1,14,3.1794367439746614
ring,1,15,3.1761294668226583
ring,1,16,3.1911697038404148
ring,1,17,3.2263072433341167
ring,1,18,3.2480590261600475
ring,1,19,3.2603679857468606
ring,1,20,3.2718027983077262
ring,1,21,3.291146328483549
ring,1,22,3.426492198750566
ring,1,23,3.400007162185152
ring,1,24,3.426492198750566
ring,1,25,3.4066893717951743
ring,1,26,3.4264921987505668
ring,1,27,3.5065057203570733
ring,1,28,3.5512831181669484
ring,1,29,3.563411772116679
ring,1,30,3.5450312950513676
ring,1,31,3.5563390283774448
ring,1,32,3.5644309086559574
ring,1,33,3.610930711422404
ring,1,34,3.5867239113941123
ring,1,35,3.610608920503007
ring,1,36,3.6109218001380428
ring,1,37,3.608034686531454
ring,1,38,3.6125247261653066
ring,1,39,3.6240727181469907
ring,1,40,3.6009767341836225
ring,1,41,3.6118043701540627
ring,1,42,3.619489546089459
ring,1,43,3.6305716958668235
ring,1,44,3.6416538456441883
ring,1,45,3.6190237038851394
ring,1,46,3.614714738924561
ring,1,47,3.6174038602063696
ring,1,48,3.6187691900782157
ring,1,49,3.6058149534884123
ring,1,50,3.6305716958668235
ring,2,1,1.52901591232242
ring,2,2,2.416567372406875
ring,2,3,2.4583005290099376
ring,2,4,2.574621748065036
ring,2,5,2.6878462467029998
ring,2,6,2.855847966309709
ring,2,7,3.2110080184629672
ring,2,8,3.172502488108175
ring,2,9,3.177974245869412
ring,2,10,3.1820006915707024
ring,2,11,3.182599083305314
ring,2,12,3.581029145920121
ring,2,13,3.5856053749611667
ring,2,14,3.5585224179145643
ring,2,15,3.577811806582943
ring,2,16,3.5667163396246004
ring,2,17,3.713460523826213
ring,2,18,3.7512669394741116
ring,2,19,3.7652527993126483
ring,2,20,3.7323610422432316
ring,2,21,3.71352425346972
ring,2,22,3.7701559748106765
ring,2,23,3.7701559748106765
ring,2,24,3.751240508071296
ring,2,25,3.7512405080712954
ring,2,26,3.7512669394741116
ring,2,27,3.751240508071296
ring,2,28,3.7663561793725164
ring,2,29,3.771282984715595
ring,2,30,3.7587394842004493
ring,2,31,3.776666353745764
ring,2,32,3.788188133289368
ring,2,33,3.784487008425377
ring,2,34,3.7574004026764145
ring,2,35,3.7954501065002786
ring,2,36,3.8636539348586774
ring,2,37,3.9669884753990643
ring,2,38,3.8673966015006904
ring,2,39,3.8665247730226744
ring,2,40,3.9477056746649146
ring,2,41,3.9498560072726163
ring,2,42,3.976209082491289
ring,2,43,3.955561228943523
ring,2,44,4.01641003828565
ring,2,45,3.996179597594582
ring,2,46,3.9312122799492264
ring,2,47,3.9973834090164404
ring,2,48,4.003163865687811
ring,2,49,4.023492315376263
ring,2,50,3.9830531635029858
ring,3,1,1.6858460654821728
ring,3,2,2.722171112653945
ring,3,3,2.9487458162243163
ring,3,4,2.9456051687325413
ring,3,5,2.986836243070825
ring,3,6,2.9705461627029144
ring,3,7,3.1433631363809877
ring,3,8,3.141102252602542
ring,3,9,3.2215553049254297
ring,3,10,3.2268749804502312
ring,3,11,3.226508510678457
ring,3,12,3.3200871645097365
ring,3,13,3.3036963037525666
ring,3,14,3.336386087987472
ring,3,15,3.319280521442135
ring,3,16,3.3360976611386617
ring,3,17,3.328723381147436
ring,3,18,3.34599278919102
ring,3,19,3.4055605795987716
ring,3,20,3.410383301479257
ring,3,21,3.3938572582253945
ring,3,22,3.423483227666206
ring,3,23,3.389999387027337
ring,3,24,3.3939905674604054
ring,3,25,3.367639902953156
ring,3,26,3.434410070631845
ring,3,27,3.4439833109644473
ring,3,28,3.432740926853002
ring,3,29,3.432927057224922
ring,3,30,3.433427503801455
ring,3,31,3.433572963564747
ring,3,32,3.4921695972849394
ring,3,33,3.4631955802447387
ring,3,34,3.492338597051675
ring,3,35,3.4767059443249932
ring,3,36,3.499124527368173
ring,3,37,3.5065575936760554
ring,3,38,3.4865263042457313
ring,3,39,3.506726740306447
ring,3,40,3.506605742318006
ring,3,41,3.5403996885242988
ring,3,42,3.574866844303051
ring,3,43,3.541144029673228
ring,3,44,3.540346928675143
ring,3,45,3.5540911510787163
ring,3,46,3.5748668443030516
ring,3,47,3.574642645525433
ring,3,48,3.5408304813195164
ring,3,49,3.571333091313497
ring,3,50,3.574768628869424
ring,4,1,1.545385189302857
ring,4,2,2.368772508043158
ring,4,3,2.443885963923969
ring,4,4,2.493007507977052
ring,4,5,2.5246347198087125
ring,4,6,2.528569169895195
ring,4,7,2.77649522699618
ring,4,8,2.7626235267788766
ring,4,9,2.7772950488604145
ring,4,10,2.7668019327927005
ring,4,11,2.7870640440612098
ring,4,12,2.8643722628761723
ring,4,13,2.8532938665168213
ring,4,14,2.8679136237752347
ring,4,15,2.890703273806335
ring,4,16,2.892678972770436
ring,4,17,2.9246113038568673
ring,4,18,2.9379812231396722
ring,4,19,2.9382138123358907
ring,4,20,2.9477454414588857
ring,4,21,2.9538459276130657
ring,4,22,3.020260098259603
ring,4,23,3.033948896663915
ring,4,24,3.0201474419335277
ring,4,25,3.0055628155786382
ring,4,26,3.022655911516741
ring,4,27,3.071686033220653
ring,4,28,3.0745011661304034
ring,4,29,3.0693586349604964
ring,4,30,3.074394802550272
ring,4,31,3.080276899412774
ring,4,32,3.094826086121633
ring,4,33,3.131048540772839
ring,4,34,3.132406258121465
ring,4,35,3.1588824770694495
ring,4,36,3.144909442199851
ring,4,37,3.1601055893157843
ring,4,38,3.1667034832896244
ring,4,39,3.164690920721226
ring,4,40,3.1558884899080097
ring,4,41,3.1657069635430366
ring,4,42,3.1592997024671297
ring,4,43,3.1910020899297833
ring,4,44,3.200299119728359
ring,4,45,3.2011149955298928
ring,4,46,3.1745025714733552
ring,4,47,3.1978715261880173
ring,4,48,3.1986962186706083
ring,4,49,3.2326258073954968
ring,4,50,3.2046704761790323
ring,5,1,1.5647084005148408
ring,5,2,2.436231569763021
ring,5,3,2.7347135128559827
ring,5,4,2.724012985224759
ring,5,5,2.7107638196602997
ring,5,6,2.714281422656216
ring,5,7,2.9414740006174265
ring,5,8,2.929289064249767
ring,5,9,3.0119550211538573
ring,5,10,2.985560649602766
ring,5,11,2.9916771566685925
ring,5,12,3.1694117943189632
ring,5,13,3.1659687134967216
ring,5,14,3.161428727634723
ring,5,15,3.2534467135059146
ring,5,16,3.227625724564503
ring,5,17,3.425800900025545
ring,5,18,3.39413140157899
ring,5,19,3.425800900025545
ring,5,20,3.3623305403648955
ring,5,21,3.409066636378416
ring,5,22,3.411915739828322
ring,5,23,3.4154533653359556
ring,5,24,3.3991241326240003
ring,5,25,3.410631342394511
ring,5,26,3.3830777641932053
ring,5,27,3.383575958905008
ring,5,28,3.4337759623801665
ring,5,29,3.4263873168048753
ring,5,30,3.4019841815813026
ring,5,31,3.4337759623801665
ring,5,32,3.3807375236804815
ring,5,33,3.3861012084130615
ring,5,34,3.4181117194541635
ring,5,35,3.4337759623801665
ring,5,36,3.3543915578432206
ring,5,37,3.4177162782300825
ring,5,38,3.369513985595712
ring,5,39,3.4181117194541635
ring,5,40,3.4330182536884686
ring,5,41,3.4024474765281605
ring,5,42,3.4337759623801665
ring,5,43,3.3699531345086426
ring,5,44,3.4337759623801665
ring,5,45,3.4337759623801665
ring,5,46,3.3855359666997735
ring,5,47,3.402333825753974
ring,5,48,3.4154879724996925
ring,5,49,3.3897816992994776
ring,5,50,3.385067507658922
ring,6,1,1.3534696249626375
ring,6,2,2.28751209120809
ring,6,3,2.3523333377550215
ring,6,4,2.378450778510068
ring,6,5,2.442083709559056
ring,6,6,2.4820310141562687
ring,6,7,2.8564049323066194
ring,6,8,2.8635102798967518
ring,6,9,2.8311383580951675
ring,6,10,2.915415812495012
ring,6,11,2.8877991395848714
ring,6,12,3.155498113681324
ring,6,13,3.142515964306535
ring,6,14,3.1551250986989787
ring,6,15,3.200515139246444
ring,6,16,3.1794863832896576
ring,6,17,3.278402857515759
ring,6,18,3.279699324756257
ring,6,19,3.3006568595710144
ring,6,20,3.3222042348909433
ring,6,21,3.312988307536429
ring,6,22,3.4005519722846658
ring,6,23,3.3877062476454882
ring,6,24,3.4090856985919182
ring,6,25,3.425230833461419
ring,6,26,3.4093100162684493
ring,6,27,3.432751589329873
ring,6,28,3.477266037139118
ring,6,29,3.448482876090889
ring,6,30,3.443235157572295
ring,6,31,3.442201437551519
ring,6,32,3.488903732520226
ring,6,33,3.4661064783108655
ring,6,34,3.45683628332431
ring,6,35,3.469095300607145
ring,6,36,3.488903732520226
ring,6,37,3.488903732520226
ring,6,38,3.4656601524720236
ring,6,39,3.457616926037417
ring,6,40,3.455242858850209
ring,6,41,3.457048506208168
ring,6,42,3.4731486796225837
ring,6,43,3.450433069727641
ring,6,44,3.46261284489307
ring,6,45,3.4863304888465194
ring,6,46,3.456958267138181
ring,6,47,3.4731486796225837
ring,6,48,3.488903732520226
ring,6,49,3.4854634792705568
ring,6,50,3.4421539376377552
ring,7,1,1.482912400550799
ring,7,2,2.375726852345946
ring,7,3,2.4405958604941502
ring,7,4,2.4391294740535097
ring,7,5,2.4875250748810283
ring,7,6,2.6030096889714107
ring,7,7,2.9702846818846833
ring,7,8,2.9581447058536865
ring,7,9,3.022946170361426
ring,7,10,3.044341947788441
ring,7,11,3.1117751437237446
ring,7,12,3.2550395694406395
ring,7,13,3.2714330088495247
ring,7,14,3.264922372703134
ring,7,15,3.2450171757954713
ring,7,16,3.2716710527262394
ring,7,17,3.418441117288034
ring,7,18,3.401487485442453
ring,7,19,3.401737852242769
ring,7,20,3.4384375405993213
ring,7,21,3.411988111869346
ring,7,22,3.5030091947205486
ring,7,23,3.5030982650681097
ring,7,24,3.4867334992881434
ring,7,25,3.444141615577121
ring,7,26,3.479330411345667
ring,7,27,3.5035454859418684
ring,7,28,3.486470607293758
ring,7,29,3.4867171485828288
ring,7,30,3.4792104846843976
ring,7,31,3.487091891011013
ring,7,32,3.5002711528098773
ring,7,33,3.536297353242513
ring,7,34,3.5197297483537078
ring,7,35,3.536297353242513
ring,7,36,3.503412510265219
ring,7,37,3.5155721198208014
ring,7,38,3.5196658699569148
ring,7,39,3.4538428934482175
ring,7,40,3.536297353242513
ring,7,41,3.5096041510364864
ring,7,42,3.486594538576098
ring,7,43,3.4799543047974075
ring,7,44,3.4870047389909287
ring,7,45,3.5197297483537078
ring,7,46,3.4976628879148195
ring,7,47,3.536297353242513
ring,7,48,3.5022461041263795
ring,7,49,3.503240606945873
ring,7,50,3.4374247755279166
ring,8,1,1.4940676481991617
ring,8,2,2.3007447661815648
ring,8,3,2.3663460240688634
ring,8,4,2.421682506038416
ring,8,5,2.4290866573155308
ring,8,6,2.431191581648057
ring,8,7,2.9891926579340904
ring,8,8,2.9874199951217033
ring,8,9,3.0364983952334192
ring,8,10,3.0694642040623044
ring,8,11,3.0371178817776476
ring,8,12,3.2946429820573107
ring,8,13,3.250303039287534
ring,8,14,3.2718757724202208
ring,8,15,3.256281232163718
ring,8,16,3.2796899578229395
ring,8,17,3.2555293557998772
ring,8,18,3.3055341362207846
ring,8,19,3.2761328322571943
ring,8,20,3.3055341362207846
ring,8,21,3.3055341362207846
ring,8,22,3.285969375027771
ring,8,23,3.2985425177966463
ring,8,24,3.3055341362207846
ring,8,25,3.3055341362207846
ring,8,26,3.2904757806908966
ring,8,27,3.2996629558738704
ring,8,28,3.3055341362207846
ring,8,29,3.282297351313768
ring,8,30,3.275449807017395
ring,8,31,3.2753948726039868
ring,8,32,3.2609552139704876
ring,8,33,3.3055341362207846
ring,8,34,3.3055341362207846
ring,8,35,3.2561261046579197
ring,8,36,3.2904532281338748
ring,8,37,3.2904757806908966
ring,8,38,3.2834689807942112
ring,8,39,3.286757997064999
ring,8,40,3.2546279110955383
ring,8,41,3.2904757806908966
ring,8,42,3.2904757806908966
