,run,model,phase,fitness,returns,mdd
0,0,ring,train,3.269942432908846,3.269942432908846,-0.2516361472080799
1,0,ring,validation,-0.12113452220578676,-0.12113452220578676,-0.1524456461085572
2,0,multikuti,train,3.4994984958415123,3.4994984958415123,-0.2653143136606666
3,0,multikuti,validation,-0.2015809943649475,-0.2015809943649475,-0.15769898712815705
4,0,master_slave,train,3.5859736790465773,3.5859736790465773,-0.2619535315163643
5,0,master_slave,validation,-0.10375557268436904,-0.10375557268436904,-0.118160269187774
6,0,gga,train,3.4546583482098945,3.4546583482098945,-0.26954397382561107
7,0,gga,validation,-0.0982022562805587,-0.0982022562805587,-0.1381713033828446
8,0,pso,train,0.137,1.3099,-0.0469
9,0,pso,validation,0.0566,0.0735,-0.0239
10,1,ring,train,3.4880304811307026,3.4880304811307026,-0.2553660995499937
11,1,ring,validation,-0.1013033850597203,-0.1013033850597203,-0.10967742936261145
12,1,multikuti,train,3.0426476960833106,3.0426476960833106,-0.21914387357559031
13,1,multikuti,validation,-0.08521195295792831,-0.08521195295792831,-0.10685858140121411
14,1,master_slave,train,3.6440565309849653,3.6440565309849653,-0.27713721844126227
15,1,master_slave,validation,-0.10430165645957526,-0.10430165645957526,-0.12740745609441265
16,1,gga,train,4.358699780212237,4.358699780212237,-0.2902344563301495
17,1,gga,validation,-0.08328479022839796,-0.08328479022839796,-0.1168957575768885
18,1,pso,train,0.135,1.1287,-0.0388
19,1,pso,validation,0.0191,0.0209,-0.0248
20,2,ring,train,3.6012118886918514,3.6012118886918514,-0.26577475578555154
21,2,ring,validation,-0.11241924083161448,-0.11241924083161448,-0.10689133784416853
22,2,multikuti,train,3.357115243960083,3.357115243960083,-0.2784290947035831
23,2,multikuti,validation,-0.10146975771772955,-0.10146975771772955,-0.12505151305068601
24,2,master_slave,train,4.454432170091394,4.454432170091394,-0.28299313033533285
25,2,master_slave,validation,-0.09495917944385543,-0.09495917944385543,-0.1320243006671775
26,2,gga,train,3.1806575559408516,3.1806575559408516,-0.26814367098819814
27,2,gga,validation,-0.14469389822889495,-0.14469389822889495,-0.12090412817140465
28,2,pso,train,0.135,1.0138,-0.044
29,2,pso,validation,0.0761,0.0938,-0.0213
30,3,ring,train,3.106846512109397,3.106846512109397,-0.2634526533451539
31,3,ring,validation,-0.10004939831885531,-0.10004939831885531,-0.11158086358341715
32,3,multikuti,train,3.50311029119545,3.50311029119545,-0.28127429634231627
33,3,multikuti,validation,-0.002927682051673258,-0.002927682051673258,-0.10764696538597698
34,3,master_slave,train,3.203212877304712,3.203212877304712,-0.2335188396119638
35,3,master_slave,validation,-0.1462336263111133,-0.1462336263111133,-0.12686972682642014
36,3,gga,train,2.8414710003770978,2.8414710003770978,-0.32072693522866447
37,3,gga,validation,-0.2005652443282402,-0.2005652443282402,-0.18009894066943039
38,3,pso,train,0.1207,0.4933,-0.0334
39,3,pso,validation,0.0644,0.0681,-0.0188
40,4,ring,train,3.6905324266953166,3.6905324266953166,-0.26569403632442884
41,4,ring,validation,-0.14890959420530722,-0.14890959420530722,-0.12550989148241293
42,4,multikuti,train,3.7756488938899153,3.7756488938899153,-0.2561602569277775
43,4,multikuti,validation,-0.08455448824524014,-0.08455448824524014,-0.12589274324065342
44,4,master_slave,train,3.208630772136833,3.208630772136833,-0.1997378942392022
45,4,master_slave,validation,-0.09792034419867444,-0.09792034419867444,-0.11307214122709264
46,4,gga,train,3.918695647443412,3.918695647443412,-0.2665784200215029
47,4,gga,validation,-0.08946498878031013,-0.08946498878031013,-0.12914599347679476
48,4,pso,train,0.1122,2.3272,-0.1165
49,4,pso,validation,-0.0101,-0.0488,-0.0776
50,5,ring,train,3.9220224423820254,3.9220224423820254,-0.2913765254152283
