,run,model,phase,fitness,returns,mdd
0,0,ring,train,1.2443649105629153,0.7449421425653144,-0.16093600194313082
1,0,ring,validation,1.1370545695791319,0.637631801581531,-0.252969796957535
2,0,multikuti,train,1.2443649105629153,0.7449421425653144,-0.16093600194313082
3,0,multikuti,validation,1.2399104415288538,0.7404876735312529,-0.41387638296118423
4,0,master_slave,train,1.2443649105629153,0.7449421425653144,-0.16093600194313082
5,0,master_slave,validation,1.2399104415288538,0.7404876735312529,-0.41387638296118423
6,0,gga,train,1.2443649105629153,0.7449421425653144,-0.16093600194313082
7,0,gga,validation,1.2399104415288538,0.7404876735312529,-0.41387638296118423
8,0,pso,train,0.0331,0.4927,-0.1168
9,0,pso,validation,0.0182,0.1139,-0.1671
10,1,ring,train,1.2443649105629153,0.7449421425653144,-0.16093600194313082
11,1,ring,validation,1.2399104415288538,0.7404876735312529,-0.41387638296118423
12,1,multikuti,train,1.2443649105629153,0.7449421425653144,-0.16093600194313082
13,1,multikuti,validation,1.2399104415288538,0.7404876735312529,-0.41387638296118423
14,1,master_slave,train,1.2443649105629153,0.7449421425653144,-0.16093600194313082
15,1,master_slave,validation,1.1665003145641453,0.6670775465665444,-0.2505624670245558
16,1,gga,train,1.2443649105629153,0.7449421425653144,-0.16093600194313082
17,1,gga,validation,1.2399104415288538,0.7404876735312529,-0.41387638296118423
18,1,pso,train,0.0359,0.6364,-0.1353
19,1,pso,validation,0.011,0.0281,-0.1734
20,2,ring,train,1.2443649105629153,0.7449421425653144,-0.16093600194313082
21,2,ring,validation,1.1374800300910064,0.6380572620934055,-0.2529893935970369
22,2,multikuti,train,1.2443649105629153,0.7449421425653144,-0.16093600194313082
23,2,multikuti,validation,1.1370545695791319,0.637631801581531,-0.252969796957535
24,2,master_slave,train,1.2443649105629153,0.7449421425653144,-0.16093600194313082
25,2,master_slave,validation,1.1665003145641453,0.6670775465665444,-0.2505624670245558
26,2,gga,train,1.2443649105629153,0.7449421425653144,-0.16093600194313082
27,2,gga,validation,1.1665003145641453,0.6670775465665444,-0.2505624670245558
28,2,pso,train,0.036,0.6365,-0.1349
29,2,pso,validation,0.0111,0.0302,-0.1728
30,3,ring,train,1.2443649105629153,0.7449421425653144,-0.16093600194313082
31,3,ring,validation,1.1374800300910064,0.6380572620934055,-0.2529893935970369
32,3,multikuti,train,1.2443649105629153,0.7449421425653144,-0.16093600194313082
33,3,multikuti,validation,1.2399104415288538,0.7404876735312529,-0.41387638296118423
34,3,master_slave,train,1.2443649105629153,0.7449421425653144,-0.16093600194313082
35,3,master_slave,validation,1.1665003145641453,0.6670775465665444,-0.2505624670245558
36,3,gga,train,1.2443649105629153,0.7449421425653144,-0.16093600194313082
37,3,gga,validation,1.2399104415288538,0.7404876735312529,-0.41387638296118423
38,3,pso,train,0.0377,0.5571,-0.0999
39,3,pso,validation,0.0134,0.057,-0.128
40,4,ring,train,1.2443649105629153,0.7449421425653144,-0.16093600194313082
41,4,ring,validation,1.2399104415288538,0.7404876735312529,-0.41387638296118423
42,4,multikuti,train,1.2443649105629153,0.7449421425653144,-0.16093600194313082
43,4,multikuti,validation,1.1665003145641453,0.6670775465665444,-0.2505624670245558
44,4,master_slave,train,1.2443649105629153,0.7449421425653144,-0.16093600194313082
45,4,master_slave,validation,1.1665003145641453,0.6670775465665444,-0.2505624670245558
46,4,gga,train,1.2443649105629153,0.7449421425653144,-0.16093600194313082
47,4,gga,validation,1.2399104415288538,0.7404876735312529,-0.41387638296118423
48,4,pso,train,0.0359,0.6364,-0.1353
49,4,pso,validation,0.011,0.0281,-0.1734
50,5,ring,train,1.2443649105629153,0.7449421425653144,-0.16093600194313082
51,5,ring,validation,1.2399104415288538,0.7404876735312529,-0.41387638296118423
52,5,multikuti,train,1.2443649105629153,0.7449421425653144,-0.16093600194313082
53,5,multikuti,validation,1.1665003145641453,0.6670775465665444,-0.2505624670245558
54,5,master_slave,train,1.2443649105629153,0.7449421425653144,-0.16093600194313082
55,5,master_slave,validation,0.9115509921752283,0.4121282241776274,-0.42220690935773186
56,5,gga,train,1.2443649105629153,0.7449421425653144,-0.16093600194313082
57,5,gga,validation,1.1370545695791319,0.637631801581531,-0.252969796957535
58,5,pso,train,0.0377,0.5571,-0.0999
59,5,pso,validation,0.0134,0.057,-0.128
60,6,ring,train,1.2443649105629153,0.7449421425653144,-0.16093600194313082
61,6,ring,validation,1.1665003145641453,0.6670775465665444,-0.2505624670245558
62,6,multikuti,train,1.2443649105629153,0.7449421425653144,-0.16093600194313082
