model,trend,returns_mean,returns_std,returns_min,returns_max,mdd_mean,mdd_std,mdd_min,mdd_max,fitness_mean,fitness_std,fitness_min,fitness_max
gga,Downtrend,-0.4434,0.045,-0.4876,-0.4007,-0.505,0.1347,-0.6328,-0.374,0.056,0.045,0.0119,0.0987
gga,Sideways,0.7155,0.041,0.6376,0.7405,-0.3651,0.0785,-0.4139,-0.2506,1.2149,0.041,1.1371,1.2399
gga,Uptrend,2.3802,0.582,1.7877,3.0117,-0.2139,0.0437,-0.2609,-0.1706,2.5049,0.582,1.9123,3.1364
master_slave,Downtrend,-0.4571,0.0972,-0.709,-0.4007,-0.5573,0.1247,-0.6465,-0.374,0.0423,0.0972,-0.2096,0.0987
master_slave,Sideways,0.6607,0.0952,0.4121,0.7405,-0.317,0.0852,-0.4222,-0.2506,1.1601,0.0952,0.9116,1.2399
master_slave,Uptrend,2.3257,0.6554,1.4596,3.0117,-0.1966,0.0614,-0.2609,-0.0812,2.4504,0.6554,1.5843,3.1364
multikuti,Downtrend,-0.4437,0.0453,-0.4876,-0.4007,-0.5058,0.1339,-0.6328,-0.374,0.0558,0.0453,0.0119,0.0987
multikuti,Sideways,0.6827,0.0593,0.5592,0.7405,-0.3211,0.0813,-0.4139,-0.2506,1.1821,0.0593,1.0587,1.2399
multikuti,Uptrend,2.5221,0.6321,1.7877,3.0117,-0.2067,0.0466,-0.2609,-0.1706,2.6468,0.6321,1.9123,3.1364
pso,Downtrend,-0.8492,0.0173,-0.8983,-0.8417,-0.4683,0.0155,-0.4931,-0.4349,-0.0468,0.0069,-0.0516,-0.034
pso,Sideways,0.0663,0.0416,0.0281,0.1349,-0.1492,0.0242,-0.1734,-0.1224,0.0145,0.0039,0.011,0.0216
pso,Uptrend,0.8265,0.0572,0.7343,0.9085,-0.0695,0.0076,-0.0805,-0.0612,0.0849,0.0017,0.0823,0.0873
ring,Downtrend,-0.4697,0.0364,-0.4876,-0.4007,-0.4305,0.1066,-0.6328,-0.374,0.0297,0.0364,0.0119,0.0987
ring,Sideways,0.6848,0.0492,0.6376,0.7405,-0.3169,0.0835,-0.4139,-0.2506,1.1842,0.0492,1.1371,1.2399
ring,Uptrend,2.7054,0.5002,1.7877,3.0117,-0.1951,0.0396,-0.2609,-0.1706,2.8301,0.5002,1.9123,3.1364
