,run,model,phase,fitness,returns,mdd
0,0,ring,train,6.122868186746644,5.998181199697938,-0.247088451174079
1,0,ring,validation,3.136417006318675,3.0117300192699687,-0.17061437032867466
2,0,multikuti,train,6.122868186746644,5.998181199697938,-0.247088451174079
3,0,multikuti,validation,3.136417006318675,3.0117300192699687,-0.17061437032867466
4,0,master_slave,train,6.122868186746644,5.998181199697938,-0.247088451174079
5,0,master_slave,validation,3.136417006318675,3.0117300192699687,-0.17061437032867466
6,0,gga,train,6.122868186746644,5.998181199697938,-0.247088451174079
7,0,gga,validation,3.136417006318675,3.0117300192699687,-0.17061437032867466
8,0,pso,train,0.1106,3.0437,-0.0756
9,0,pso,validation,0.0863,0.8094,-0.0652
10,1,ring,train,6.122868186746644,5.998181199697938,-0.247088451174079
11,1,ring,validation,3.136417006318675,3.0117300192699687,-0.17061437032867466
12,1,multikuti,train,6.122868186746644,5.998181199697938,-0.247088451174079
13,1,multikuti,validation,1.9123410346872274,1.787654047638521,-0.2608786139016482
14,1,master_slave,train,6.122868186746644,5.998181199697938,-0.247088451174079
15,1,master_slave,validation,3.136417006318675,3.0117300192699687,-0.17061437032867466
16,1,gga,train,6.122868186746644,5.998181199697938,-0.247088451174079
17,1,gga,validation,1.95020470881212,1.8255177217634135,-0.18217546823295552
18,1,pso,train,0.1078,2.679,-0.051
19,1,pso,validation,0.0845,0.7613,-0.0696
20,2,ring,train,6.122868186746644,5.998181199697938,-0.247088451174079
21,2,ring,validation,3.136417006318675,3.0117300192699687,-0.17061437032867466
22,2,multikuti,train,6.122868186746644,5.998181199697938,-0.247088451174079
23,2,multikuti,validation,3.136417006318675,3.0117300192699687,-0.17061437032867466
24,2,master_slave,train,6.122868186746644,5.998181199697938,-0.247088451174079
25,2,master_slave,validation,1.9123410346872274,1.787654047638521,-0.2608786139016482
26,2,gga,train,6.122868186746644,5.998181199697938,-0.247088451174079
27,2,gga,validation,1.9123410346872274,1.787654047638521,-0.2608786139016482
28,2,pso,train,0.1071,2.6592,-0.0493
29,2,pso,validation,0.0823,0.7343,-0.0684
30,3,ring,train,6.122868186746644,5.998181199697938,-0.247088451174079
31,3,ring,validation,3.136417006318675,3.0117300192699687,-0.17061437032867466
32,3,multikuti,train,6.122868186746644,5.998181199697938,-0.247088451174079
33,3,multikuti,validation,3.136417006318675,3.0117300192699687,-0.17061437032867466
34,3,master_slave,train,6.122868186746644,5.998181199697938,-0.247088451174079
35,3,master_slave,validation,3.136417006318675,3.0117300192699687,-0.17061437032867466
36,3,gga,train,6.122868186746644,5.998181199697938,-0.247088451174079
37,3,gga,validation,1.9123410346872274,1.787654047638521,-0.2608786139016482
38,3,pso,train,0.1058,2.9012,-0.0899
39,3,pso,validation,0.0857,0.8053,-0.0612
40,4,ring,train,6.122868186746644,5.998181199697938,-0.247088451174079
41,4,ring,validation,3.136417006318675,3.0117300192699687,-0.17061437032867466
42,4,multikuti,train,6.122868186746644,5.998181199697938,-0.247088451174079
43,4,multikuti,validation,1.9123410346872274,1.787654047638521,-0.2608786139016482
44,4,master_slave,train,6.122868186746644,5.998181199697938,-0.247088451174079
45,4,master_slave,validation,2.724738330792061,2.600051343743355,-0.159131171008192
46,4,gga,train,6.122868186746644,5.998181199697938,-0.247088451174079
47,4,gga,validation,2.2166239337990548,2.0919369467503484,-0.24793666126181763
48,4,pso,train,0.1114,3.1414,-0.0777
49,4,pso,validation,0.087,0.8218,-0.0647
50,5,ring,train,6.122868186746644,5.998181199697938,-0.247088451174079
51,5,ring,validation,2.2166239337990548,2.0919369467503484,-0.24793666126181763
52,5,multikuti,train,6.122868186746644,5.998181199697938,-0.247088451174079
53,5,multikuti,validation,1.9123410346872274,1.787654047638521,-0.2608786139016482
54,5,master_slave,train,6.122868186746644,5.998181199697938,-0.247088451174079
55,5,master_slave,validation,1.9123410346872274,1.787654047638521,-0.2608786139016482
56,5,gga,train,6.122868186746644,5.998181199697938,-0.247088451174079
57,5,gga,validation,2.5994241702866026,2.474737183237896,-0.2439645890108569
58,5,pso,train,0.1061,2.9034,-0.0842
59,5,pso,validation,0.0873,0.8349,-0.0651
60,6,ring,train,6.122868186746644,5.998181199697938,-0.247088451174079
61,6,ring,validation,1.9123410346872274,1.787654047638521,-0.2608786139016482
62,6,multikuti,train,6.122868186746644,5.998181199697938,-0.247088451174079
63,6,multikuti,validation,1.9123410346872274,1.787654047638521,-0.2608786139016482
64,6,master_slave,train,6.122868186746644,5.998181199697938,-0.247088451174079
65,6,master_slave,validation,1.9123410346872274,1.787654047638521,-0.2608786139016482
66,6,gga,train,6.122868186746644,5.998181199697938,-0.247088451174079
67,6,gga,validation,1.9123410346872274,1.787654047638521,-0.2608786139016482
68,6,pso,train,0.1063,3.2049,-0.0765
69,6,pso,validation,0.0834,0.8923,-0.0796
70,7,ring,train,6.122868186746644,5.998181199697938,-0.247088451174079
71,7,ring,validation,3.136417006318675,3.0117300192699687,-0.17061437032867466
72,7,multikuti,train,6.122868186746644,5.998181199697938,-0.247088451174079
73,7,multikuti,validation,3.136417006318675,3.0117300192699687,-0.17061437032867466
74,7,master_slave,train,6.122868186746644,5.998181199697938,-0.247088451174079
75,7,master_slave,validation,1.9123410346872274,1.787654047638521,-0.2608786139016482
76,7,gga,train,6.122868186746644,5.998181199697938,-0.247088451174079
77,7,gga,validation,3.136417006318675,3.0117300192699687,-0.17061437032867466
78,7,pso,train,0.1058,2.9013,-0.0899
79,7,pso,validation,0.0857,0.8053,-0.0612
80,8,ring,train,6.122868186746644,5.998181199697938,-0.247088451174079
81,8,ring,validation,3.136417006318675,3.0117300192699687,-0.17061437032867466
82,8,multikuti,train,6.122868186746644,5.998181199697938,-0.247088451174079
83,8,multikuti,validation,3.136417006318675,3.0117300192699687,-0.17061437032867466
84,8,master_slave,train,6.122868186746644,5.998181199697938,-0.247088451174079
85,8,master_slave,validation,3.136417006318675,3.0117300192699687,-0.17061437032867466
86,8,gga,train,6.122868186746644,5.998181199697938,-0.247088451174079
87,8,gga,validation,3.136417006318675,3.0117300192699687,-0.17061437032867466
88,8,pso,train,0.1002,2.9125,-0.0858
89,8,pso,validation,0.0837,0.9085,-0.0805
90,9,ring,train,6.122868186746644,5.998181199697938,-0.247088451174079
91,9,ring,validation,2.2166239337990548,2.0919369467503484,-0.24793666126181763
92,9,multikuti,train,6.122868186746644,5.998181199697938,-0.247088451174079
93,9,multikuti,validation,3.136417006318675,3.0117300192699687,-0.17061437032867466
94,9,master_slave,train,6.122868186746644,5.998181199697938,-0.247088451174079
95,9,master_slave,validation,1.5843228550448187,1.4596358679961123,-0.08118975239605036
96,9,gga,train,6.122868186746644,5.998181199697938,-0.247088451174079
97,9,gga,validation,3.136417006318675,3.0117300192699687,-0.17061437032867466
98,9,pso,train,0.1063,3.2049,-0.0765
99,9,pso,validation,0.0834,0.8923,-0.0796
