,run,model,phase,fitness,returns,mdd
0,0,ring,train,6.497570258157476,5.998147490159876,-0.24708856015992905
1,0,ring,validation,3.5111509006408994,3.0117281326432987,-0.17061404935631613
2,0,multikuti,train,6.497570258157476,5.998147490159876,-0.24708856015992905
3,0,multikuti,validation,3.5111509006408994,3.0117281326432987,-0.17061404935631613
4,0,master_slave,train,6.497570258157476,5.998147490159876,-0.24708856015992905
5,0,master_slave,validation,2.9741607787945554,2.4747380107969543,-0.24396419788085114
6,0,gga,train,6.497570258157476,5.998147490159876,-0.24708856015992905
7,0,gga,validation,3.5111509006408994,3.0117281326432987,-0.17061404935631613
8,0,pso,train,0.1035,3.924,-0.0892
9,0,pso,validation,0.0682,0.8206,-0.1094
10,1,ring,train,6.497570258157476,5.998147490159876,-0.24708856015992905
11,1,ring,validation,3.5111509006408994,3.0117281326432987,-0.17061404935631613
12,1,multikuti,train,6.497570258157476,5.998147490159876,-0.24708856015992905
13,1,multikuti,validation,3.5111509006408994,3.0117281326432987,-0.17061404935631613
14,1,master_slave,train,6.497570258157476,5.998147490159876,-0.24708856015992905
15,1,master_slave,validation,3.5111509006408994,3.0117281326432987,-0.17061404935631613
16,1,gga,train,6.497570258157476,5.998147490159876,-0.24708856015992905
17,1,gga,validation,3.5111509006408994,3.0117281326432987,-0.17061404935631613
18,1,pso,train,0.107,3.1776,-0.0763
19,1,pso,validation,0.0845,0.8985,-0.0777
20,2,ring,train,6.497570258157476,5.998147490159876,-0.24708856015992905
21,2,ring,validation,3.5111509006408994,3.0117281326432987,-0.17061404935631613
22,2,multikuti,train,6.497570258157476,5.998147490159876,-0.24708856015992905
23,2,multikuti,validation,3.5111509006408994,3.0117281326432987,-0.17061404935631613
24,2,master_slave,train,6.497570258157476,5.998147490159876,-0.24708856015992905
25,2,master_slave,validation,2.9741607787945554,2.4747380107969543,-0.24396419788085114
26,2,gga,train,6.497570258157476,5.998147490159876,-0.24708856015992905
27,2,gga,validation,3.5111509006408994,3.0117281326432987,-0.17061404935631613
28,2,pso,train,0.1068,2.9035,-0.0854
29,2,pso,validation,0.0872,0.8268,-0.0637
30,3,ring,train,6.497570258157476,5.998147490159876,-0.24708856015992905
31,3,ring,validation,3.5111509006408994,3.0117281326432987,-0.17061404935631613
32,3,multikuti,train,6.497570258157476,5.998147490159876,-0.24708856015992905
33,3,multikuti,validation,3.5111509006408994,3.0117281326432987,-0.17061404935631613
34,3,master_slave,train,6.497570258157476,5.998147490159876,-0.24708856015992905
35,3,master_slave,validation,3.5111509006408994,3.0117281326432987,-0.17061404935631613
36,3,gga,train,6.497570258157476,5.998147490159876,-0.24708856015992905
37,3,gga,validation,3.5111509006408994,3.0117281326432987,-0.17061404935631613
38,3,pso,train,0.1088,3.1676,-0.0801
39,3,pso,validation,0.0881,0.9406,-0.0701
40,4,ring,train,6.497570258157476,5.998147490159876,-0.24708856015992905
41,4,ring,validation,3.5111509006408994,3.0117281326432987,-0.17061404935631613
42,4,multikuti,train,6.497570258157476,5.998147490159876,-0.24708856015992905
43,4,multikuti,validation,3.5111509006408994,3.0117281326432987,-0.17061404935631613
44,4,master_slave,train,6.497570258157476,5.998147490159876,-0.24708856015992905
45,4,master_slave,validation,3.5111509006408994,3.0117281326432987,-0.17061404935631613
46,4,gga,train,6.497570258157476,5.998147490159876,-0.24708856015992905
47,4,gga,validation,3.5111509006408994,3.0117281326432987,-0.17061404935631613
48,4,pso,train,0.1031,2.987,-0.0952
49,4,pso,validation,0.0876,0.9475,-0.0673
50,5,ring,train,6.497570258157476,5.998147490159876,-0.24708856015992905
51,5,ring,validation,3.5111509006408994,3.0117281326432987,-0.17061404935631613
52,5,multikuti,train,6.497570258157476,5.998147490159876,-0.24708856015992905
53,5,multikuti,validation,3.5111509006408994,3.0117281326432987,-0.17061404935631613
54,5,master_slave,train,6.497570258157476,5.998147490159876,-0.24708856015992905
55,5,master_slave,validation,3.5111509006408994,3.0117281326432987,-0.17061404935631613
56,5,gga,train,6.497570258157476,5.998147490159876,-0.24708856015992905
57,5,gga,validation,3.5111509006408994,3.0117281326432987,-0.17061404935631613
58,5,pso,train,0.1088,3.1676,-0.0801
59,5,pso,validation,0.0881,0.9406,-0.0701
60,6,ring,train,6.497570258157476,5.998147490159876,-0.24708856015992905
61,6,ring,validation,3.5111509006408994,3.0117281326432987,-0.17061404935631613
62,6,multikuti,train,6.497570258157476,5.998147490159876,-0.24708856015992905
63,6,multikuti,validation,3.5111509006408994,3.0117281326432987,-0.17061404935631613
64,6,master_slave,train,6.497570258157476,5.998147490159876,-0.24708856015992905
65,6,master_slave,validation,3.5111509006408994,3.0117281326432987,-0.17061404935631613
66,6,gga,train,6.497570258157476,5.998147490159876,-0.24708856015992905
67,6,gga,validation,3.5111509006408994,3.0117281326432987,-0.17061404935631613
